id,p_id,week,mins,start,pos,n_goal,p_goal,p_miss,sht_on,sht_off,sht_post,fld,fld_p,off,ast,key,own,ylw,ylw2,red,fl,fl_p,tck,intr,head,blk,clr,n_con,p_con,o_con,p_sav,c_sav,pn_sav
30,59736,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,59721,1,90,TRUE,DL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,2,2,0,7,0,0,0,0,0,0
32,59706,1,90,TRUE,DC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,2,1,0,2,0,0,0,0,0,0
33,59691,1,45,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
34,59676,1,90,TRUE,AML,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
35,59661,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,0,5,0,0,0,0,0,0
36,59646,1,90,TRUE,DL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,5,0,5,0,0,0,0,0,0
37,59511,1,90,TRUE,DL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0
38,59496,1,90,TRUE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0
39,59481,1,54,TRUE,FW,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,59451,1,9,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
41,59361,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,59331,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,59301,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,59286,1,16,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,59271,1,90,TRUE,DMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,1,0,0,0,0,0,0
46,59256,1,90,TRUE,DL,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,0,0,0,0,0,0
47,59241,1,90,TRUE,FW,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
48,59226,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,59211,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,59196,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,59181,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,59166,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,59151,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,59121,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,59106,1,65,TRUE,AML,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
56,59091,1,90,TRUE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0
57,59076,1,27,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
58,59061,1,52,TRUE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,2,0
59,59046,1,90,TRUE,DR,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0
60,59031,1,12,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,59016,1,90,TRUE,FW,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
62,58881,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,58851,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,58806,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,58761,1,90,TRUE,DC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0
66,58746,1,10,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,58731,1,22,FALSE,Sub,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
68,58716,1,6,FALSE,Sub,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,58701,1,8,FALSE,Sub,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,58686,1,31,FALSE,Sub,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0
71,58671,1,90,TRUE,DC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,4,4,1,14,0,0,0,0,0,0
72,58641,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,58611,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,58566,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,58476,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,58446,1,19,FALSE,Sub,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,58431,1,18,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
78,58416,1,72,TRUE,AMC,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0
79,58401,1,75,TRUE,DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0
80,58386,1,79,TRUE,MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,2,1,0,0,0,0,0,0
81,58371,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,6,5,0,9,0,0,0,0,0,0
82,58356,1,1,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,58341,1,90,TRUE,AML,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
84,58326,1,77,TRUE,AMR,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
85,58311,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,0,0,0,0,0
86,58296,1,90,TRUE,DL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,5,0,0,4,0,0,0,0,0,0
87,58281,1,37,FALSE,Sub,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
88,58266,1,90,TRUE,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,6,0,0,0,0,0,0
89,58146,1,10,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,58131,1,90,TRUE,AMC,1,0,0,1,1,0,4,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
91,58116,1,25,FALSE,Sub,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,58101,1,90,TRUE,MC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
93,58086,1,69,TRUE,ML,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
94,58056,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,58011,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,57981,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,57951,1,27,FALSE,Sub,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,57936,1,90,TRUE,FW,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,57921,1,9,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,57906,1,90,TRUE,FWL,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
101,57891,1,89,TRUE,FW,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,3,0,0,0,0,0,0
102,57876,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0
103,57861,1,90,TRUE,DC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,1,7,0,0,0,0,0,0
104,57846,1,58,TRUE,DMC,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
105,57831,1,11,FALSE,Sub,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0,2,0,2,0,0,0,0,0,0
106,57816,1,36,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0
107,57801,1,90,TRUE,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,7,0,0,0,0,0,0
108,57786,1,90,TRUE,DR,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,3,1,3,0,7,0,0,0,0,0,0
109,57771,1,90,TRUE,MC,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0
110,57756,1,6,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,57741,1,22,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,57726,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,57651,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,57636,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,57621,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,57606,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,57576,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,4,2,0,8,0,0,0,0,0,0
118,57561,1,90,TRUE,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,5,0,0,0,0,0,0
119,57546,1,90,TRUE,DC,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,0,12,0,0,0,0,0,0
120,57531,1,90,TRUE,DC,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,8,0,0,0,0,0,0
121,57516,1,75,TRUE,FW,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
122,57501,1,32,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,57486,1,54,TRUE,AMC,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
124,57471,1,90,TRUE,DC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0
125,57456,1,90,TRUE,MR,0,0,0,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
126,57441,1,90,TRUE,DC,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,7,2,4,0,0,0,0,0,0
127,57426,1,13,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,57411,1,74,TRUE,AMC,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
129,57396,1,71,TRUE,MC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,3,0,0,2,0,0,0,0,0,0
130,57381,1,90,TRUE,AML,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
131,57366,1,90,TRUE,DMC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,0,0,0
132,57351,1,90,TRUE,AML,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,0,0
133,57321,1,80,TRUE,FW,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
134,57306,1,45,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0
135,57291,1,90,TRUE,AMR,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
136,57276,1,45,TRUE,DR,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,3,0,1,2,1,1,2,0,0,0,0,0,0
137,57261,1,23,FALSE,Sub,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
138,57246,1,90,TRUE,AML,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0
139,57231,1,90,TRUE,DC,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,4,0,2,0,0,0,0,0,0
140,57216,1,90,TRUE,DC,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,1,1,2,0,0,0,0,0,0
141,57201,1,80,TRUE,MC,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
142,57186,1,90,TRUE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,0
143,57171,1,30,TRUE,DMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
144,57156,1,90,TRUE,ML,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
145,57141,1,90,TRUE,DL,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0
146,57126,1,78,TRUE,FWL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
147,57111,1,90,TRUE,DC,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,7,2,1,9,0,0,0,0,0,0
148,57096,1,90,TRUE,DR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,2,0,0,0,0,0,0
149,57081,1,90,TRUE,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
150,57066,1,81,TRUE,DR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0
151,56931,1,63,TRUE,AML,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
152,56916,1,90,TRUE,DMC,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0
153,56901,1,78,TRUE,AMR,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
154,56886,1,78,TRUE,AMC,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
155,56871,1,90,TRUE,DMC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0
156,56856,1,15,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
157,56841,1,90,TRUE,DMC,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0
158,56826,1,63,TRUE,FWR,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
159,56811,1,90,TRUE,DMC,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0
160,56796,1,90,TRUE,DC,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,2,4,0,8,0,0,0,0,0,0
161,56781,1,90,TRUE,DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,2,0,0,0,0,0,0
162,56766,1,90,TRUE,FW,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
163,56751,1,90,TRUE,DR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,2,0,0,0,0,0,0,0
164,56736,1,90,TRUE,MC,0,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
165,56721,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,0,0,0,0,0
166,56706,1,90,TRUE,FW,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
167,56691,1,90,TRUE,DC,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,3,3,1,2,0,0,0,0,0,0
168,56676,1,90,TRUE,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1,2,0,0,0,0,0,0
169,56661,1,90,TRUE,MC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3,0,3,0,0,0,0,0,0
170,56646,1,90,TRUE,DMC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
171,56631,1,63,TRUE,DL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
172,56616,1,19,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
173,56601,1,59,TRUE,FWR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
174,56586,1,90,TRUE,MC,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0
175,56571,1,53,TRUE,FW,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0
176,56556,1,68,TRUE,AMR,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,4,1,2,0,1,0,0,0,0,0,0
177,56541,1,90,TRUE,FW,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
178,56526,1,60,TRUE,DMC,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
179,56511,1,68,TRUE,AMC,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,56496,1,0,FALSE,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,56436,1,63,TRUE,FW,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
182,56421,1,45,FALSE,Sub,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,3,0,0,1,2,0,0,0,0,0,0
183,56406,1,90,TRUE,MC,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0
184,56391,1,90,TRUE,MR,0,0,0,0,2,0,3,0,0,0,1,0,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0
185,56376,1,12,FALSE,Sub,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
186,56361,1,90,TRUE,FW,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
187,56346,1,90,TRUE,AMC,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
